item_id,eye_witness,eye_witness_in,eye_witness_out,informative,informative_in,informative_out,damage,damage_in,damage_out,Y_in,Y_out,Y,text
37,0,0,4,0,2,2,0,1,3,0,4,0,"RT @nycarecs: #NYPD calling for more cops people ""breaking into all stores"" around Mermaid Ave. #crime #nyc #sandy"
38,1,1,3,1,3,1,0,0,4,0,4,0,RT @NYMag: RT @MikeBloomberg: My next update on NYC's response to #Sandy will be at 11 am (10/30). Watch live at http://t.co/rK7NHPe6
39,1,1,2,0,0,3,0,0,3,0,3,0,RT @TheJOWETT: If people choose to ignore professional advice on Hurricane Sandy then I have absolutely no sympathy for them because they're clearly idiots
40,1,1,3,0,1,3,0,0,4,0,4,0,RT @YourAnonNews: The Statue of Liberty right now - http://t.co/WaXBbZUc | #sandy
41,1,1,2,1,3,0,0,1,2,0,3,0,RT @NBCNews: Live Blog: Surreal scenes in the aftermath of #Sandy government response and more http://t.co/03MHqJFx
42,0,0,3,0,0,3,0,0,3,0,3,0,RT @1tuiteiro: Boatos que o FuracÃ­Â£o Sandy Ã­Â© imortal e que nÃ­Â£o vai morrer no final.
43,0,0,3,1,3,0,1,2,1,0,3,0,Sandy wreaks havoc on a Houston Symphony concert but a violinist swoops in to save the day http://t.co/0uzfxA3W
44,1,1,3,0,0,4,0,0,4,0,4,0,RT @Son_of_Fratter: Soldiers guarding tomb of the unknown soldier as Hurricane Sandy rages. #America _Ã´Âˆ__Ã´ÂˆÂŸ_Ã´Âˆ__Ã´ÂˆÂŸ_Ã´Âˆ__Ã´ÂˆÂŸ http://t.co/UubuvplJ
45,0,0,7,1,6,1,0,0,7,0,7,0,RT @HuffingtonPost: This guy walked for 2 miles to save a litter of kittens during #Sandy! http://t.co/jSn2f5oE
46,1,1,2,0,1,2,0,0,3,0,3,0,Take good care everyone. It's not over yet so be alert and stay safe. #Sandy
47,0,0,3,0,1,2,0,0,3,0,3,0,@harryanxiety FGS SANDY GET IT TOGETHER
48,1,2,1,1,3,0,0,0,3,0,3,0,HURRICANE SANDY: A double rainbow touches down in Manhattan this morning signaling an end to the stormiest of weather. http://t.co/lUSbBV4v
49,1,1,2,0,1,2,0,0,3,0,3,0,Hope everyone near #Sandy is ok... &lt;3 from across the seas xx
50,0,0,3,0,2,1,0,0,3,0,3,0,RT @mmzarzosa: EEUU vende mÃ­Ã§s pero http://t.co/JOzvTlzz
51,1,1,2,1,3,0,0,0,3,0,3,0,RT @SkyNewsBreak: Mayor of New York Michael Bloomberg says superstorm #Sandy has resulted in 18 deaths in NYC
52,0,0,3,1,2,1,0,0,3,0,3,0,RT @djolder: Someone called EMS today because he didn't like the bed the shelter gave him. Folks...i have no words. #Sandy
53,0,0,3,0,2,1,0,1,2,0,3,0,Send Us Your Hurricane #Sandy Pics http://t.co/jilA0xUa
54,0,0,3,0,1,2,0,0,3,0,3,0,To my loved One in NYC if you need me just let me know. I'm here for you. My prayers are with you in the aftermath of Hurricane Sandy.
55,1,1,2,0,1,2,0,0,3,0,3,0,Bet into skynews waiting on hurricane t hit NYC #sandy
56,1,1,3,0,0,4,0,0,4,0,4,0,RT @szadkowski_m: #Sandy les mÃ­Â©dias en font-ils trop sur les USA et pas du tout assez sur HaÃ­Â¿ti ? Bcp de lecteurs @lemondefr le pensent https://t.co/cFTj7Qin
57,0,0,3,1,3,0,0,0,3,0,3,0,Yeeeeeaaahhh..... - Statue Of Liberty In Hurricane Sandy Photo Goes Viral In NYC Is It Real Or Fake? http://t.co/zItsPXxG
58,1,1,3,1,4,0,0,2,2,0,4,0,RT @JustinKing224: This is...unreal. Essentially the only building with power in #NYC right now is the Empire State Building. #Sandy http://t.co/ScVhG8qH
59,0,0,3,0,1,2,0,0,3,0,3,0,#godblessamerica #sandy
60,0,0,3,0,1,2,0,0,3,0,3,0,Who the fuck is #Sandy ?
61,1,1,2,0,0,3,0,0,3,0,3,0,Bersih2 NYC habis kenak #Sandy storm itu gimana yak? Udah 100% full of water dah itu kota x.x
62,1,2,1,0,2,1,0,1,2,1,2,0,Question: say bikeshare wasn't delayed... would we have rad subway substitute or streets full of twisted metal? #sandy #nyc
63,0,0,3,1,3,0,0,1,2,0,3,0,Whoa RT: @danielpetty Best of the wire photos from Hurricane #Sandy so far http://t.co/8Aehy8HT
64,1,1,2,0,0,3,0,0,3,0,3,0,RT @ruthcalhoun: @weatherchannel must be making a killing on remnant revenue today. #sandy
65,0,0,3,0,0,3,0,0,3,0,3,0,RT @sahzdi: #Sandy a puntico de llegar a NYC. Dios los proteja.
66,1,2,1,1,2,1,1,2,1,1,2,1,You watching this #Sandy is fucking up #EmpireState
67,0,0,5,0,2,3,0,0,5,0,5,0,RT @pops_dc: 5 Fake Hurricane Sandy Photos You're Sharing on Social Media - http://t.co/pKIqFZSD
68,1,1,2,1,3,0,0,0,3,0,3,0,RT @ConanOBrien: .@RedCross blood banks are running low due to Hurricane #Sandy canceling blood drives. Find a bank here & donate: http://t.co/vfyILNRk
69,1,1,2,1,2,1,0,0,3,0,3,0,blueholdhole: Got my grandma out of the #LES. Headed back uptown. #hurricane #sandy #alphabetcity #aftermath http://t.co/VTZHeV5b
70,0,0,3,0,1,2,0,0,3,0,3,0,Bussed to NYC for another show. Hurricane Sandy has us on house arrest for 3 days and I lose my passport (dont tell Twila). Ouf what a trip
71,1,1,2,0,0,3,0,0,3,0,3,0,#porn He has this kind of dick. He published my aged pics http://t.co/4UEtcCUE
72,0,0,3,0,1,2,0,1,2,0,3,0,#teamautofollow VIDEOS/ ELLIE KEMPER TALKS MARRIAGE http://t.co/MxGdNCFT
73,1,1,2,0,1,2,0,1,2,0,3,0,@F_Jrl I'm hungry w ma 3ndy akl o ma yw99lo 3shan Sandy elzft.
74,0,0,3,1,2,1,0,0,3,0,3,0,Presidential courage? Mitt Romney Refuses To Talk About FEMA After Hurricane Sandy Event http://t.co/qgfymEqF via @HuffPostPol
75,1,2,1,1,2,1,0,0,3,0,3,0,RT @nystephiee: #crazy pic of #hurricanesandy #sandy #statueofliberty #nyc #storm #damn #wow #rain #instago #photooftheday # http://t.co/6tY6oVa5
76,1,1,2,0,1,2,0,0,3,0,3,0,People inside Hurricane Sandy are still blogging. I'd probably be doing the same.
77,1,1,2,0,0,3,0,0,3,0,3,0,RT @Osi_Suave: Apparently a song called sandy wud soon be recorded
78,1,1,2,0,2,1,0,0,3,0,3,0,RT @felixht: Everyone who throws YOLO around all the time better be outside when Hurricane Sandy hits. #toronto #storm #moneywheremouthis #2012
79,0,0,3,0,1,2,0,0,3,0,3,0,1st Hurricane Sandy Then Arsenal being hammered by Reading & now Star Wars 7. Stay safe everybody its the start of the end of the world...
80,0,0,3,0,1,2,0,0,3,0,3,0,RT @StewieCricket: @piersmorgan you've survived Hurricane Sandy thankfully but currently seem to be struggling with Hurricane Reading!
81,0,0,3,0,2,1,0,0,3,0,3,0,@titus_ndronicus Any chance you'd be down for doing a radio sesh at WREK Atlanta tomorrow? XL was gonna set something up but then #Sandy.
82,1,1,2,0,1,2,0,0,3,0,3,0,RT @isardasorensen: Rainbow over today's #NYC sky offers glimpse of hope after Hurricane #Sandy. http://t.co/NhQ4tvVn
83,1,2,1,1,3,0,1,3,0,2,1,1,RT @DomingoBacalao: NYC & Sandy http://t.co/2Ycc8TE3
84,1,3,3,1,5,1,1,4,2,2,4,1,RT @ABCWorldNews: Gate C34 at LaGuardia Airport MT @JetBlue Recovering from Hurricane #Sandy http://t.co/rLSYyAHs
85,0,0,3,0,1,2,0,1,2,0,3,0,RT @pilurubio: Efectivamente ya estÃ­Ã§n todos listos en NYC para la llegada del HuracÃ­Ã§n #Sandy . ExpectaciÃ­_n mÃ­Ã§xima. http://t.co/6Wz4xKeB
86,0,0,3,1,3,0,0,1,2,0,3,0,World Vision Fundraiser's states their supplies damaged by Hurricane Sandy Why ?Bad management + waste of money having vulnerabile stores
87,1,1,2,0,2,1,0,0,3,0,3,0,Superstorm Sandy in #NYC !! Pray for United states of America
88,1,1,3,0,0,4,0,0,4,0,4,0,RT @_JACKIIEXO: hurricane sandy you didn't do yo thang.
89,0,0,3,0,3,0,0,0,3,0,3,0,No life. RT @ceexruocco: Someone really made a Hurricane Sandy Twitter page & tht shxt has 130k followers.
90,1,1,2,1,3,0,1,2,1,1,2,1,video confirmation that our LBI house is at least still standing. but the area is devastated. #LBI #sandy http://t.co/YhRdNtt9
91,0,0,3,0,2,1,0,0,3,0,3,0,RT @kgbt: #AmericanApparel is receiving backlash over their latest promotion... Should the company apologize? #Sandy #RGV http://t.co/4LCLD9uN
92,0,0,3,0,0,3,0,0,3,0,3,0,RT @danielviotto1: MeteorÃ­_logos creen que Sandy tendrÃ­Ã§ efectos devastadores
93,0,0,3,1,3,0,1,3,0,0,3,0,RT @rdevro: Bloomberg says power could be out in parts of NYC for three days or more; 750000 currently going without. #sandy
94,1,1,3,0,1,3,0,0,4,0,4,0,RT @Lord_Sugar: @piersmorgan Piersy go stand on the top of the Empire state building and start your waffling so all your hot air will deflect Sandy
95,0,0,3,0,1,2,0,0,3,0,3,0,@milkmaid58 @Anglopp: And they say the Irish are mad.....#Sandy #NYC http://t.co/gYQV0oB5
96,1,1,2,0,0,3,0,0,3,0,3,0,RT @_Swizzy4L: Sandy ain't real _Ã´Ã–__Ã´Ã–__Ã´Ã–_
97,0,0,3,0,1,2,0,0,3,0,3,0,Sandy............Blow me...more important things like screaming at Arsenal FC
98,0,0,3,1,3,0,0,0,3,0,3,0,RT @brendlewhat: #ThanksDonald RT @RealDonaldTrump I challenge all of my fellow billionaires to match my donation of $5M to Hurricane #Sandy relief efforts.
99,1,1,2,0,1,2,0,1,2,0,3,0,This hurricane is starting to turn into Sugary Sweets Sandy as I now have a sugar high and tummy ache thanks to @Tabifit
100,0,0,3,1,3,0,0,0,3,0,3,0,#CNN Trending in the U.S. Stick with us for #Sandy Coverage!
101,1,1,2,1,3,0,0,0,3,0,3,0,Storm Aftermath: Live Updates: Live updates from the aftermath of the storm. http://t.co/H7KqKURs
102,0,0,3,0,0,3,0,0,3,0,3,0,_Ã´__ Sandy baby you're the one. You make the government so much fun _Ã´Ã«Ã³_Ã´Ã_ @megan__carter
103,0,0,7,0,3,4,0,1,6,0,7,0,RT @democracynow: New Jersey's Oyster Creek nuclear power plant is the same design but even older than Fukushima Daiichi http://t.co/0izzziWY #sandy
104,1,2,1,1,3,0,0,0,3,0,3,0,RT @HuffingtonPost: Gov. Cuomo: The Hudson River was literally pouring into the Ground Zero site. #Sandy #NYC
105,0,0,3,0,1,2,0,0,3,0,3,0,Hurricane #Sandy #SafeHouse http://t.co/IECSmg5o
106,1,1,2,1,3,0,0,0,3,0,3,0,"Sandy death toll climbs to 38; millions affected by storm's devastation: Editor's note: Click the ""Play"" button ... http://t.co/SypLnUSw"
107,0,0,3,0,1,2,0,1,2,0,3,0,RT @EricMTownsend: If a tree falls in NYC and at least 50 people don't stop to Instagram it did the tree really fall? #sandy
108,0,0,4,1,4,0,0,2,2,0,4,0,Limited train service resuming in NYC after superstorm Sandy - CBS News: National GeographicLimited train servic... http://t.co/zUQZBRXT
109,1,1,2,0,0,3,0,0,3,0,3,0,RT @CNNEE: Rescatan personas de los techos de casas rodantes en #NuevaJersey http://t.co/g8N0GjQi #Sandy
110,0,0,3,0,1,2,0,0,3,0,3,0,Very concerned about all my #NYC and #EastCoast friends. Stay safe out there!! Don't let #Sandy bully you!
111,0,0,3,1,3,0,1,2,1,0,3,0,@EvanRizz what town are you talking about? Please everybody please tell us the town if you see power on. @jcp_l #sandy
112,0,0,3,0,0,3,0,0,3,0,3,0,RT @mr2157: MÃ­Ã§s de 175.000 personas estÃ­Ã§n sin luz en Nueva York. #sandy
113,0,0,3,1,3,0,1,1,2,0,3,0,Dealing with the aftermath of Hurricane Sandy http://t.co/6D6Mtsl4
114,1,1,4,1,5,0,0,0,5,0,5,0,How do you volunteer with @redcross to aid with results Hurricane Sandy
115,1,1,3,0,0,4,0,0,4,0,4,0,@svmelb @istub Enig! Hadde ikke flere tegn igjen og det sÃ­Â« dermed ut som jeg konkluderte m at Sandy sikrer dette for Obama. Det gjÃ­ÂŸr d ikke.
116,0,0,3,0,2,1,0,0,3,0,3,0,RT @aravosis: GOP House candidate's campaign manager tried to spread panic w/ false rumors about Sandy on Twitter last night http://t.co/cX55lFxG
117,0,0,3,1,3,0,1,2,1,0,3,0,RT @Forbes: Hurricane Sandy Puts More Than $87 Billion Worth Of Homes At Risk http://t.co/S7JmYCnA
118,1,1,2,1,3,0,0,1,2,0,3,0,Things are getting pretty wild out here... #sandy #nyc http://t.co/XtxUuvVo
119,0,0,3,0,1,2,0,0,3,0,3,0,In the aftermath of Hurricane Sandy our thoughts are with the communities and our employees that have been affected by the storm.
120,0,0,3,1,3,0,0,1,2,0,3,0,RT @HurricaneSandyw: FOR EVERY 100 RETWEETS WE WILL BE DONATING $1000 TO HELP REBUILT COMMUNITIES DAMAGED BY HURRICANE SANDY. PLEASE RETWEET!!!
121,1,1,5,1,6,0,0,1,5,0,6,0,RT @UN: UNHQ in NYC is closed on Tuesday due to Hurricane #Sandy. More info here: http://t.co/0p90eZIa. Photo: http://t.co/vT8Wl9rX
122,0,0,3,0,0,3,0,0,3,0,3,0,RT @MyaByaFoFiya: AYYY pool party tonight at your front door. Hosted by Hurricane Sandy! Music by Rain Drops & DJ Thunder #TurnUp
123,0,0,4,1,4,0,1,4,0,0,4,0,#Superstorm #Sandy Floods. Now Fire. A dozen homes burning in Rockaways. 200 Firefighters. 6 alarm blaze. LI house fires. Smell of gasoline
124,1,1,6,1,6,1,0,0,7,0,7,0,Sandy-hit areas struggle to resume daily life - CBS News http://t.co/AAaToR0w #topstories
125,0,0,3,0,0,3,0,0,3,0,3,0,Guaoooo sustoooo!! RT @sahzdi: #IMPRESIONANTE esta foto del HuracÃ­Ã§n Sandy acercÃ­Ã§ndose a NYC ----&gt; http://t.co/l8ithKLq
126,1,1,2,0,0,3,0,0,3,0,3,0,RT @hasanise: Ã­_ldÃ­_rÃ­_cÃ­_ kasÃ›Â±rga Sandy'n aÂÃ´kÃ›Â±m.
127,1,1,2,1,2,1,0,0,3,0,3,0,RT @SueHorner: Sandy surgery & Starbucks in today's #IABCToronto Twitter News http://t.co/iNuow5W8
128,1,1,2,0,0,3,0,0,3,0,3,0,No me creo lo de los tiburones en las calles y el metro del Estado de NY tras #Sandy jamÃ­Ã§s en la vida!
129,0,0,3,1,2,1,0,0,3,0,3,0,RT @FrankCaro: Por fin una foto real de lo que esta pasando en NYC con el huracÃ­Ã§n #Sandy http://t.co/bTHBr8sj
130,0,0,3,0,0,3,0,0,3,0,3,0,@AmberLynn_R you're welcome! Are u ok in hurricane sandy? Are you able to watch #DWTS?
131,1,1,6,1,6,1,0,0,7,0,7,0,RT @peoplemag: #Sandy heroes! Nurses rescued newborns when the hurricane hit NYC and their hospital lost power http://t.co/QP8Tshoe
132,0,0,3,0,1,2,0,0,3,0,3,0,"The only ""Sandy"" around here lately makes goalies puke and cry. @JustGoalie #whatstorm?"
133,0,0,3,1,3,0,0,0,3,0,3,0,SUN CHARITY VOLUNTEERS ..Ushers in to post hurricane Sandy cleanup in Washington DC. #MQMUSA http://t.co/lnDZK3qy
134,1,2,1,0,2,1,0,0,3,0,3,0,RT @TheOnion: Lone Doofus Has Been Waiting 36 Hours For Next C Train http://t.co/CJPlWDB8 #Sandy
135,1,1,4,0,2,3,0,0,5,0,5,0,RT @javimoya: Espectacular foto de Sandy desde la estaciÃ­_n espacial internacional (y esta vez no es fake es de @AstroMarshburn) http://t.co/zGw8Vz4J
136,0,0,3,0,3,0,0,1,2,0,3,0,RT @BBCKimGhattas: While we continue 2 cover aftermath of #Sandy in US important to remember storm wreaked havoc in Caribbean killed 66ppl
137,0,0,4,1,3,1,1,2,2,0,4,0,RT @NewYorkPost: Apple Store gets sand bagged in the Meatpacking Dristict. #hurricane #sandy #nyc http://t.co/mfbG5fzz
138,1,1,2,0,0,3,0,0,3,0,3,0,RT @SparksNicholas: I'm praying that all those terribly affected by #Sandy ... such a terrible storm!
139,0,0,3,0,0,3,0,0,3,0,3,0,#nyc Absolutely no way. She draws it can!!! http://t.co/EK85jfof
140,0,0,3,0,2,1,0,0,3,0,3,0,Ã¤Ã³Ã¬@katiecouric: Halloween postponed & canceled in some areas due to #Sandy. How are you celebrating today trick or treaters??Ã¤Ã³Â
141,1,1,2,0,0,3,0,0,3,0,3,0,RT @ant_917: This is not real. New York doesn't look like this and there are people on the island... How exactly? #NYC #Sandy http://t.co/82hJytia
142,0,0,3,1,3,0,0,1,2,0,3,0,RT @sandyhuricane_: HURRICANE #SANDY WEATHER http://t.co/fdQmbHRL
143,0,0,3,1,2,1,0,0,3,0,3,0,Everybody please be safe cause #hurricane #Sandy aint playn no games&gt; #philadelphia #philly #newjersey #Nj #newyork #nyc
144,1,1,2,0,2,1,0,0,3,0,3,0,@BeanSunny #FEMA is so bad that #GOP are all saying great things about it dealing with #Sandy. #Churches giving #Bibles to homeless #useful
145,1,1,2,0,0,3,0,0,3,0,3,0,RT @KidLogik: I wish Ollie Williams could do live coverage of Hurricane Sandy
146,1,1,2,0,1,2,0,0,3,0,3,0,Tech Tips: Mashable Media Summit Rescheduled Due to Hurricane Sandy http://t.co/HoJrWbGV
147,1,1,2,0,1,2,0,0,3,0,3,0,RT @baratunde: #NYC NBC4 is showing footage of a man in the ocean on a jet ski because evolution is incomplete #frankentunde #sandy
148,1,1,2,1,3,0,1,2,1,0,3,1,RT @FDNYEMSwebsite: Here's a close up photo of the broken crane ( due to Hurricane #Sandy ) in NYC that @FDNY & the NYPD responded to. http://t.co/mWFkRTNy
149,0,0,3,0,0,3,0,0,3,0,3,0,"RT @globovision: #EnVideo Declaran como zona catastrÃ­_fica Ã­Ã§reas de Nueva York y Nueva Jersey afectadas por ""Sandy"" http://t.co/Tcv3M4uv"
150,1,1,4,1,4,1,1,4,1,0,5,1,#NYC life comes back...taxis traffic Sanitation Dept equipment cleans and FDR Drive opens (it was under 5ft of water last night) #Sandy
151,0,0,4,1,3,1,0,0,4,0,4,0,UnfuckingbelievableMichael Brown ex-FEMA head has advice criticism for Obama re Hurricane Sandy http://t.co/iciOoIsX via @denverwestword
152,0,0,4,1,4,0,0,0,4,0,4,0,RT @NBCNewYork: #BREAKING: #Sandy now 40 miles from New Jersey as winds water swell #SandyNJ http://t.co/sEQMLFv3
153,1,1,2,0,1,2,0,0,3,0,3,0,RT @HassidicLife: #TrueFact: RT@tedfrank: A half hour of CNN watching provides less information than reading a good set of Twitter feeds for 5 minutes. #Sandy
154,1,1,2,1,3,0,1,2,1,0,3,1,@Cyntroe -we've had Sandy's Remnants Down here in The Lakes. Mid 30's Real windy....some snow w/sleet/rain.....
155,1,1,2,0,0,3,0,0,3,0,3,0,@JoshuaMorrowYR: how u today josh? That's her name really..we in nyc we made it thru sandy! Hw bout a RT?
156,1,1,4,0,2,3,0,1,4,0,5,0,RT @maureenjohnson: MJ STORM UPDATE: CNN has sent least-loved reporter into waves at Atlantic City to die. This sacrifice must be made every major storm. #sandy
157,0,0,3,0,2,1,0,1,2,0,3,0,RT @XHurricaneSandy: In the film 2012 New York flooded in October; then the world ended. It's October it's 2012 and New York is flooded. #Sandy
158,0,0,3,0,0,3,0,0,3,0,3,0,I hope everyone is okay in the part where Hurricane Sandy hit! #Sandy
159,1,2,1,0,1,2,0,0,3,0,3,0,Live-Blogging Sandy http://t.co/Ic79lMdR via @storify
160,0,0,3,1,3,0,0,0,3,0,3,0,Ã¤Ã³Ã¬@peoplemag: #Sandy heroes! Nurses rescued newborns when the hurricane hit NYC and their hospital lost power http://t.co/Upb0fSRsÃ¤Ã³Â @kg1025
161,0,0,3,0,0,3,0,0,3,0,3,0,RT @E1000R1: S'il y a des inondations Ã­Ã¦ NYC il faut leur envoyer Fabrice EbouÃ­Â©. #Badoumtsssssssssss #Sandy
162,0,0,5,0,0,5,0,0,5,0,5,0,If I were stranded in #NYC right now I'd be gathering as many speakers and amplifiers as possible and I'd nuke #REM 's endoftheworld #sandy
163,0,0,3,0,2,1,0,0,3,0,3,0,RT @LizGillies: I feel like everyone forgot about Halloween. That wench Sandy ruined it for everyone.
164,0,0,4,0,1,3,0,0,4,0,4,0,#Sandy : differentiating real from fake with @TheAtlantic http://t.co/GDPuwOiy
165,1,1,3,0,1,3,0,0,4,0,4,0,But they were just calling to give me sandy updates #yikes
166,0,0,4,1,4,0,0,0,4,0,4,0,#Sandy has already made the record books with lowest pressure. Be safe everyone in the east mainly RI PA NYC NJ. Steer clear of the coast
167,0,0,3,0,0,3,0,0,3,0,3,0,God cease Sandy. Bless those affected by the storm.
168,1,1,2,0,1,2,0,1,2,0,3,0,@tylercicardo aw tyler :((((((( is it cause of hurricane sandy?!?! or am i just being a dumb blonde lol?
169,0,0,3,0,0,3,0,0,3,0,3,0,RT @ShannonLeto: My thoughts are with you NYC/East coast and everyone else that is being affected by hurricane Sandy
170,0,0,3,0,1,2,0,0,3,0,3,0,http://t.co/38eAM45l Â™ÂƒÃ¸Ã¥Â™ÂƒÂ™ÂšÃ¸_Ã¸Â© Ã¸Ã‡Ã¸Ã‚Ã¸_Ã¸Ã‚ Ã¸Ã¥Ã¸_Â™_Ã¸Ã‚Â™ÃŠ Ã¸Ã‡Ã¸Â±Â™ÂƒÂ™ÂšÃ¸Â‡Ã¸Â© Ã¸_Ã¸Â±Ã¸Ã‚Â™_Ã¸Â© Ã¸_Ã¸Ã‡Ã¸_Â™ÃŠ Â™_Ã¸ÂµÂ™ÂšÃ¸Â±Â™ÂˆÃ¸_ #kuwait #saudi #sandy #sex #ksa #egypt #bahrain http://t.co/ZC5vdlfQ
